"3-комн. Гоголя-Чехова, маг. Дунай",621 776 грн.,https://www.olx.ua/obyavlenie/3-komn-gogolya-chehova-mag-dunay-IDtEyLe.html#4db2ae6d6f
Продам любимую 2-комн.кв. с ремонтом.ЦЕНА СНИЖЕНА! Смелянская 128,738 389 грн.,https://www.olx.ua/obyavlenie/prodam-lyubimuyu-2-komn-kv-s-remontom-tsena-snizhena-smelyanskaya-128-ID9RLYW.html#4db2ae6d6f
"4-комнатная квартира, с живописным видом на Днепр",1 036 336 грн.,https://www.olx.ua/obyavlenie/4-komnatnaya-kvartira-s-zhivopisnym-vidom-na-dnepr-IDlbxLS.html#4db2ae6d6f
3 комнатная квартира на 700 летии,1 036 356 грн.,https://www.olx.ua/obyavlenie/3-komnatnaya-kvartira-na-700-letii-IDrwyBE.html#4db2ae6d6f
4 комнатная квартира в районе Речного вокзала,945 675 грн.,https://www.olx.ua/obyavlenie/4-komnatnaya-kvartira-v-rayone-rechnogo-vokzala-IDsX7Nu.html#4db2ae6d6f
"2-ком., ул. Ватутина, р-н 25 школы",441 201 грн.,https://www.olx.ua/obyavlenie/2-kom-ul-vatutina-r-n-25-shkoly-IDrt7w2.html#4db2ae6d6f;promoted
1к.кв.на Мытнице.Достойная Вашего внимания.,578 379 грн.,https://www.olx.ua/obyavlenie/1k-kv-na-mytnitse-dostoynaya-vashego-vnimaniya-IDtEsd0.html#4db2ae6d6f
Двухкомнатная квартира в cданном доме с панорамными окнами,705 282 грн.,https://www.olx.ua/obyavlenie/dvuhkomnatnaya-kvartira-v-cdannom-dome-s-panoramnymi-oknami-IDruV1Y.html#4db2ae6d6f
"3-кім. квартира, вул. Хрещатик",971 783 грн.,https://www.olx.ua/obyavlenie/3-km-kvartira-vul-hreschatik-IDtEqpv.html#4db2ae6d6f
"(33) 3-кімн. кв., ПЗР, р-н м-на ""АТБ""",583 567 грн.,https://www.olx.ua/obyavlenie/33-3-kmn-kv-pzr-r-n-m-na-atb-IDsc06I.html#4db2ae6d6f
"2 кімнатна квартира, центр, м. Черкаси",687 312 грн.,https://www.olx.ua/obyavlenie/2-kmnatna-kvartira-tsentr-m-cherkasi-IDtEomS.html#4db2ae6d6f
"2-ка в жилом состоянии район Д, Пацаева",492 260 грн.,https://www.olx.ua/obyavlenie/2-ka-v-zhilom-sostoyanii-rayon-d-patsaeva-IDsZsWU.html#4db2ae6d6f
Продаю 2-х км.кв. по Благовісній 332,608 847 грн.,https://www.olx.ua/obyavlenie/prodayu-2-h-km-kv-po-blagovsny-332-IDlM1NY.html#4db2ae6d6f
Актуально! Двушка с раздельными комнатами,414 520 грн.,https://www.olx.ua/obyavlenie/aktualno-dvushka-s-razdelnymi-komnatami-IDtEm1Y.html#4db2ae6d6f
1-но кімн. кв. на Митниці р-н маг. «Маяк»,427 670 грн.,https://www.olx.ua/obyavlenie/1-no-kmn-kv-na-mitnits-r-n-mag-mayak-IDtEkf8.html#4db2ae6d6f
(11) в хорошому стані по Чорновола,427 949 грн.,https://www.olx.ua/obyavlenie/11-v-horoshomu-stan-po-chornovola-IDt4DVM.html#4db2ae6d6f
"(11) Центр, ТРЦ ""Любава""",725 435 грн.,https://www.olx.ua/obyavlenie/11-tsentr-trts-lyubava-IDq5KYO.html#4db2ae6d6f
